,A,B,K,d,r,s,D,j,j_deg,gmm
730,-33980*theta_K^3 - 245879/3*theta_K^2 - 119940*theta_K - 868265/3,-15313228*theta_K^3 - 908044634/27*theta_K^2 - 162219484/3*theta_K - 1068809602/9,x^4 - x^2 - 16,4,2,1,-16900,x^4 - 83008264944360267323279215520*x^3 - 1409462438436708654182117312438027984*x^2 - 9411522559318637803334540274716262004480*x - 15715522007930111935618862734668068956078081,4,True
731,6998354/3*theta_K^3 - 14897431/3*theta_K^2 + 24711950/3*theta_K - 52604681/3,216944721070/27*theta_K^3 - 461798315510/27*theta_K^2 + 255353256998/9*theta_K - 1630669376042/27,x^4 - x^2 - 16,4,2,1,-16900,x^4 - 83008264944360267323279215520*x^3 - 1409462438436708654182117312438027984*x^2 - 9411522559318637803334540274716262004480*x - 15715522007930111935618862734668068956078081,4,True
732,-7168/3*theta_K^3 + 9216*theta_K^2 - 37376/3*theta_K + 17408/3,1254400/9*theta_K^3 - 8207360/9*theta_K^2 + 15518720/9*theta_K - 29725696/27,x^4 - x^3 + 3*x^2 - 11*x + 11,4,0,2,17061,-32768,1,True
733,203264/3*theta_K^3 + 177664*theta_K^2 + 448000/3*theta_K + 276992/3,259997696/9*theta_K^3 + 966296576/9*theta_K^2 + 800364544/9*theta_K + 1700916224/27,x^4 - x^3 + 6*x^2 + 4*x + 5,4,0,2,17061,-32768,1,True
734,-100*theta_K^3 - 240*theta_K^2 + 340*theta_K + 885,1652*theta_K^3 + 3636*theta_K^2 - 7028*theta_K - 16166,x^4 - 9*x^2 + 22,4,0,2,17248,-3375,1,True
735,5,4*theta_K^2 - 18,x^4 - 9*x^2 + 22,4,0,2,17248,-3375,1,True
736,-680*theta_K^3 + 2805*theta_K^2 - 2720*theta_K - 510,-258552*theta_K^3 + 529302*theta_K^2 + 1270416*theta_K - 2716620,x^4 - 9*x^2 + 22,4,0,2,17248,16581375,1,True
737,85*theta_K^2 - 510,570*theta_K^2 - 2964,x^4 - 9*x^2 + 22,4,0,2,17248,16581375,1,True
738,1112275368358317560250000000*theta_K^3 - 2548964385821144408906250000*theta_K^2 - 1112275368358317560250000000*theta_K + 7832272385523152820093750000,-70774335389196928259897293762875000000000*theta_K^3 + 94137686436183207063924162836531250000000*theta_K^2 + 328846497581848710865047646710375000000000*theta_K - 817326268216955134227902310982593750000000,x^4 - 5*x^2 + 22,4,0,2,17248,-3375,1,False
739,139034421044789695031250000,-195509213782311956519053297687500000000*theta_K^2 + 488773034455779891297633244218750000000,x^4 - 5*x^2 + 22,4,0,2,17248,-3375,1,True
740,85,-76*theta_K^2 + 190,x^4 - 5*x^2 + 22,4,0,2,17248,16581375,1,True
741,680*theta_K^3 - 4675/3*theta_K^2 - 680*theta_K + 14365/3,-27512*theta_K^3 + 36594*theta_K^2 + 127832*theta_K - 317718,x^4 - 5*x^2 + 22,4,0,2,17248,16581375,1,False
742,-1024/3*theta_K^2 - 1920,-47824/27*theta_K^3 - 9968*theta_K,x^4 + 17*x^2 + 64,4,0,2,17424,-32768,1,True
743,1024/3*theta_K^2 + 11648/3,67984/27*theta_K^3 + 85904/3*theta_K,x^4 + 17*x^2 + 64,4,0,2,17424,-32768,1,True
744,2752*theta_K^2 + 46592/3,397936/3*theta_K^2 + 20156416/27,x^4 + 17*x^2 + 64,4,0,2,17424,x^2 + 37616060956672*x - 56171326053810176,2,True
745,17405504/3*theta_K^2 + 97953280/3,12892128368*theta_K^2 + 1958938333184/27,x^4 + 17*x^2 + 64,4,0,2,17424,x^2 + 37616060956672*x - 56171326053810176,2,True
746,-978016/3*theta_K^2 - 5504000/3,-204239056/3*theta_K^2 - 10344599552/27,x^4 + 17*x^2 + 64,4,0,2,17424,x^2 + 37616060956672*x - 56171326053810176,2,True
747,-2067524960/3*theta_K^2 - 3878482944,-19851627758704/3*theta_K^2 - 1005474386710528/27,x^4 + 17*x^2 + 64,4,0,2,17424,x^2 + 37616060956672*x - 56171326053810176,2,True
748,-2816/3*theta_K^3 - 7168/3*theta_K^2 + 1792/3*theta_K + 4480/3,-553280/9*theta_K^3 - 465920/3*theta_K^2 + 347200/9*theta_K + 2632448/27,x^4 - 7*x^2 + 4,4,4,0,17424,-32768,1,True
749,-2816/3*theta_K^3 - 7168/3*theta_K^2 + 1792/3*theta_K + 4480/3,553280/9*theta_K^3 + 465920/3*theta_K^2 - 347200/9*theta_K - 2632448/27,x^4 - 7*x^2 + 4,4,4,0,17424,-32768,1,True
750,348480*theta_K^3 + 270080*theta_K^2 - 2240320*theta_K - 1771200,5557391360/3*theta_K^3 + 13215684608/9*theta_K^2 - 35406039040/3*theta_K - 84159336448/9,x^4 - 7*x^2 + 4,4,4,0,17424,x^4 - 4736863498464000*x^3 - 325211610485778048000000*x^2 + 54984539729717250048000000000*x + 1656636925108948992000000000000,4,True
751,13760*theta_K^3 - 177920*theta_K^2 - 8640*theta_K + 111680,381129728/3*theta_K^3 - 3333847040/9*theta_K^2 - 239242240/3*theta_K + 2092718080/9,x^4 - 7*x^2 + 4,4,4,0,17424,x^4 - 4736863498464000*x^3 - 325211610485778048000000*x^2 + 54984539729717250048000000000*x + 1656636925108948992000000000000,4,True
752,13760*theta_K^3 - 177920*theta_K^2 - 8640*theta_K + 111680,-381129728/3*theta_K^3 + 3333847040/9*theta_K^2 + 239242240/3*theta_K - 2092718080/9,x^4 - 7*x^2 + 4,4,4,0,17424,x^4 - 4736863498464000*x^3 - 325211610485778048000000*x^2 + 54984539729717250048000000000*x + 1656636925108948992000000000000,4,True
753,-320*theta_K^3 - 1280*theta_K^2 + 320*theta_K + 320,-32768/3*theta_K^3 - 501760/9*theta_K^2 - 51200/3*theta_K + 512000/9,x^4 - 7*x^2 + 4,4,4,0,17424,x^4 - 4736863498464000*x^3 - 325211610485778048000000*x^2 + 54984539729717250048000000000*x + 1656636925108948992000000000000,4,True
754,-320*theta_K^3 - 1280*theta_K^2 + 320*theta_K + 320,32768/3*theta_K^3 + 501760/9*theta_K^2 + 51200/3*theta_K - 512000/9,x^4 - 7*x^2 + 4,4,4,0,17424,x^4 - 4736863498464000*x^3 - 325211610485778048000000*x^2 + 54984539729717250048000000000*x + 1656636925108948992000000000000,4,True
755,-1201600*theta_K^3 - 3040000*theta_K^2 + 748480*theta_K + 1903680,-62730572800/3*theta_K^3 - 475061819392/9*theta_K^2 + 39377792000/3*theta_K + 298206697472/9,x^4 - 7*x^2 + 4,4,4,0,17424,x^4 - 4736863498464000*x^3 - 325211610485778048000000*x^2 + 54984539729717250048000000000*x + 1656636925108948992000000000000,4,True
756,-1201600*theta_K^3 - 3040000*theta_K^2 + 748480*theta_K + 1903680,62730572800/3*theta_K^3 + 475061819392/9*theta_K^2 - 39377792000/3*theta_K - 298206697472/9,x^4 - 7*x^2 + 4,4,4,0,17424,x^4 - 4736863498464000*x^3 - 325211610485778048000000*x^2 + 54984539729717250048000000000*x + 1656636925108948992000000000000,4,True
757,348480*theta_K^3 + 270080*theta_K^2 - 2240320*theta_K - 1771200,-5557391360/3*theta_K^3 - 13215684608/9*theta_K^2 + 35406039040/3*theta_K + 84159336448/9,x^4 - 7*x^2 + 4,4,4,0,17424,x^4 - 4736863498464000*x^3 - 325211610485778048000000*x^2 + 54984539729717250048000000000*x + 1656636925108948992000000000000,4,True
758,229376/3*theta_K^3 - 585088/3*theta_K^2 - 143872/3*theta_K + 367360/3,-397382720/9*theta_K^3 + 111541248*theta_K^2 + 249444160/9*theta_K - 1890447104/27,x^4 - 7*x^2 + 4,4,4,0,17424,x^2 + 37616060956672*x - 56171326053810176,2,True
759,229376/3*theta_K^3 - 585088/3*theta_K^2 - 143872/3*theta_K + 367360/3,397382720/9*theta_K^3 - 111541248*theta_K^2 - 249444160/9*theta_K + 1890447104/27,x^4 - 7*x^2 + 4,4,4,0,17424,x^2 + 37616060956672*x - 56171326053810176,2,True
760,-12544/3*theta_K^3 + 33152/3*theta_K^2 + 5888/3*theta_K - 22400/3,2085440/9*theta_K^3 - 1770496/3*theta_K^2 - 1234240/9*theta_K + 10180352/27,x^4 - 7*x^2 + 4,4,4,0,17424,x^2 + 37616060956672*x - 56171326053810176,2,True
761,-12544/3*theta_K^3 + 33152/3*theta_K^2 + 5888/3*theta_K - 22400/3,-2085440/9*theta_K^3 + 1770496/3*theta_K^2 + 1234240/9*theta_K - 10180352/27,x^4 - 7*x^2 + 4,4,4,0,17424,x^2 + 37616060956672*x - 56171326053810176,2,True
762,256/23*theta_K^3 - 7040/69*theta_K^2 - 18944/69*theta_K - 38912/69,77056/621*theta_K^3 + 124544/69*theta_K^2 + 875392/207*theta_K + 3981824/621,x^4 - 2*x^3 + x^2 + 33,4,0,2,17424,-32768,1,False
763,256/23*theta_K^3 - 7040/69*theta_K^2 - 18944/69*theta_K - 38912/69,-77056/621*theta_K^3 - 124544/69*theta_K^2 - 875392/207*theta_K - 3981824/621,x^4 - 2*x^3 + x^2 + 33,4,0,2,17424,-32768,1,False
764,7680*theta_K^2 + 5632,-880640*theta_K^2 - 646144,x^4 + 13*x^2 + 9,4,0,2,17689,-884736,1,True
765,-640/9*theta_K^3 + 640/3*theta_K^2 - 320*theta_K + 80/3,1792/27*theta_K^3 + 6272/3*theta_K^2 - 57344/9*theta_K + 261632/27,x^4 + 18,4,0,2,18432,8000,1,True
766,320/9*theta_K^3 - 320/3*theta_K^2 + 160*theta_K - 40/3,14336/27*theta_K^3 - 65408/81*theta_K^2 + 896/9*theta_K + 3136,x^4 + 18,4,0,2,18432,8000,1,False
767,-78400/3*theta_K^2 - 116280,-9560320/3*theta_K^2 - 382846912/27,x^4 + 4*x^2 - 2,4,2,1,-18432,8000,1,True
768,-800/3*theta_K^2 - 3560/3,9856/3*theta_K^2 + 394688/27,x^4 + 4*x^2 - 2,4,2,1,-18432,8000,1,True
769,-103480*theta_K^2 - 1381300/3,85075984/3*theta_K^2 + 3406902464/27,x^4 + 4*x^2 - 2,4,2,1,-18432,x^2 - 377674768000*x + 232381513792000000,2,True
770,-30419960/3*theta_K^2 - 135353300/3,-82523616784/3*theta_K^2 - 3304691877760/27,x^4 + 4*x^2 - 2,4,2,1,-18432,x^2 - 377674768000*x + 232381513792000000,2,True
771,-7607960/3*theta_K^2 - 33851540/3,3435663952*theta_K^2 + 412747690880/27,x^4 + 4*x^2 - 2,4,2,1,-18432,x^2 - 377674768000*x + 232381513792000000,2,True
772,-25880*theta_K^2 - 345460/3,-10625776/3*theta_K^2 - 425513536/27,x^4 + 4*x^2 - 2,4,2,1,-18432,x^2 - 377674768000*x + 232381513792000000,2,True
773,40/3*theta_K^2 - 60,112/3*theta_K^2 - 4480/27,x^4 - 4*x^2 - 2,4,2,1,-18432,8000,1,True
774,-40/3*theta_K^2 - 20/3,-112/3*theta_K^2 - 448/27,x^4 - 4*x^2 - 2,4,2,1,-18432,8000,1,True
775,-160*theta_K^2 - 1000/3,8960/3*theta_K^2 - 7616/27,x^4 - 4*x^2 - 2,4,2,1,-18432,x^2 - 377674768000*x + 232381513792000000,2,True
776,-62720/3*theta_K^2 - 9400,-7726208/3*theta_K^2 - 31255616/27,x^4 - 4*x^2 - 2,4,2,1,-18432,x^2 - 377674768000*x + 232381513792000000,2,True
777,-760/3*theta_K^2 - 500/3,10864/3*theta_K^2 + 47936/27,x^4 - 4*x^2 - 2,4,2,1,-18432,x^2 - 377674768000*x + 232381513792000000,2,True
778,3160/3*theta_K^2 - 4700,29232*theta_K^2 - 3512320/27,x^4 - 4*x^2 - 2,4,2,1,-18432,x^2 - 377674768000*x + 232381513792000000,2,True
779,-6560/9*theta_K^3 + 11360/9*theta_K^2 + 5120*theta_K - 53680/9,-1726592/81*theta_K^3 + 2979200/81*theta_K^2 + 1347584/9*theta_K - 14022400/81,x^4 - 10*x^2 - 4*x + 14,4,4,0,18688,8000,1,True
780,-6560/9*theta_K^3 + 11360/9*theta_K^2 + 5120*theta_K - 53680/9,1726592/81*theta_K^3 - 2979200/81*theta_K^2 - 1347584/9*theta_K + 14022400/81,x^4 - 10*x^2 - 4*x + 14,4,4,0,18688,8000,1,True
781,14560/9*theta_K^3 + 45680/9*theta_K^2 - 240*theta_K - 64900/9,38769472/81*theta_K^3 + 121698416/81*theta_K^2 - 631232/9*theta_K - 172911760/81,x^4 - 10*x^2 - 4*x + 14,4,4,0,18688,x^2 - 52250000*x + 12167000000,2,True
782,14560/9*theta_K^3 + 45680/9*theta_K^2 - 240*theta_K - 64900/9,-38769472/81*theta_K^3 - 121698416/81*theta_K^2 + 631232/9*theta_K + 172911760/81,x^4 - 10*x^2 - 4*x + 14,4,4,0,18688,x^2 - 52250000*x + 12167000000,2,True
783,-4480/9*theta_K^3 - 14000/9*theta_K^2 + 80*theta_K + 19900/9,-2601088/81*theta_K^3 - 8166704/81*theta_K^2 + 126784/27*theta_K + 11604880/81,x^4 - 10*x^2 - 4*x + 14,4,4,0,18688,x^2 - 52250000*x + 12167000000,2,True
784,-4480/9*theta_K^3 - 14000/9*theta_K^2 + 80*theta_K + 19900/9,2601088/81*theta_K^3 + 8166704/81*theta_K^2 - 126784/27*theta_K - 11604880/81,x^4 - 10*x^2 - 4*x + 14,4,4,0,18688,x^2 - 52250000*x + 12167000000,2,True
785,100093916934144000000000*theta_K^3 - 415676648669184000000000*theta_K^2 - 65666709835776000000000*theta_K + 1367843941287936000000000,120905288766730176823296000000000000*theta_K^3 - 427097284516236283084800000000000000*theta_K^2 - 510743341326742712745984000000000000*theta_K + 2293007691453017436979200000000000000,x^4 - 16*x^2 + 73,4,0,2,18688,8000,1,True
786,-100093916934144000000000*theta_K^3 + 415676648669184000000000*theta_K^2 + 65666709835776000000000*theta_K - 1367843941287936000000000,152166322935699567280128000000000000*theta_K^3 - 374590194892290942566400000000000000*theta_K^2 - 1580046449785787068710912000000000000*theta_K + 4278013412687036389785600000000000000,x^4 - 16*x^2 + 73,4,0,2,18688,8000,1,True
787,56*theta_K^3 - 216*theta_K^2 - 376*theta_K + 2992/3,6400/27*theta_K^3 - 17152/9*theta_K^2 - 49408/27*theta_K + 82304/9,x^4 - x^3 - 15*x^2 + 2*x + 44,4,4,0,19225,x^4 - 4016910*x^3 + 139196126456*x^2 - 215065042388170*x - 23531588875176481,4,True
788,-1851/2*theta_K^3 - 5555/2*theta_K^2 + 5755/2*theta_K + 30242/3,-63110/27*theta_K^3 - 65800/9*theta_K^2 + 156028/27*theta_K + 637186/27,x^4 - x^3 - 15*x^2 + 2*x + 44,4,4,0,19225,x^4 - 4016910*x^3 + 139196126456*x^2 - 215065042388170*x - 23531588875176481,4,True
789,-10488*theta_K^3 - 31080*theta_K^2 + 34360*theta_K + 348512/3,-102556928/27*theta_K^3 - 100973824/9*theta_K^2 + 340642048/27*theta_K + 1141419136/27,x^4 - x^3 - 15*x^2 + 2*x + 44,4,4,0,19225,x^2 - 314962*x + 887503681,2,True
790,-13230515*theta_K^3 - 39078118*theta_K^2 + 43948644*theta_K + 441764752/3,-4575563705854/27*theta_K^3 - 4505318902220/9*theta_K^2 + 15192105797464/27*theta_K + 16972500410848/9,x^4 - x^3 - 15*x^2 + 2*x + 44,4,4,0,19225,x^2 - 96953697716*x + 97838353751039,2,True
791,160*theta_K^3 - 640*theta_K + 9488/3,103040/3*theta_K^3 - 412160/3*theta_K + 18334208/27,x^4 - x^3 + 11*x + 5,4,2,1,-19343,x^2 + 18891*x - 357911,2,True
792,-20*theta_K^3 + 80*theta_K - 1172/3,-4480/27*theta_K^3 + 17920/27*theta_K - 9728/3,x^4 - x^3 + 11*x + 5,4,2,1,-19343,x^2 + 18891*x - 357911,2,True
793,-1440*theta_K^3 + 5760*theta_K - 85552/3,-936320*theta_K^3 + 3745280*theta_K - 499810048/27,x^4 - x^3 + 11*x + 5,4,2,1,-19343,x^2 + 7580312864451*x + 144612187806169,2,True
794,-1620*theta_K^3 + 6480*theta_K - 96212/3,-3149440/27*theta_K^3 + 12597760/27*theta_K - 6921472/3,x^4 - x^3 + 11*x + 5,4,2,1,-19343,x^2 + 7580312864451*x + 144612187806169,2,True
795,-165/14*theta_K^3 + 275/14*theta_K^2 + 30*theta_K - 90,-803/7*theta_K^3 + 1413/7*theta_K^2 + 252*theta_K - 828,x^4 - x^3 + 2*x^2 - 14*x + 28,4,0,2,19404,-3375,1,False
796,5,2/7*theta_K^3 + 6/7*theta_K^2 - 2,x^4 - x^3 + 2*x^2 - 14*x + 28,4,0,2,19404,-3375,1,True
797,-4335/14*theta_K^3 + 34595/14*theta_K^2 - 6120*theta_K + 5610,-139137/7*theta_K^3 - 484443/7*theta_K^2 + 411768*theta_K - 567492,x^4 - x^3 + 2*x^2 - 14*x + 28,4,0,2,19404,16581375,1,False
798,-255/14*theta_K^3 - 765/14*theta_K^2 + 170,513/7*theta_K^3 + 1539/7*theta_K^2 - 2508,x^4 - x^3 + 2*x^2 - 14*x + 28,4,0,2,19404,16581375,1,True
799,5,4/5*theta_K^3 + 24/5*theta_K + 2/5,x^4 - x^3 + 11*x^2 - 8*x + 22,4,0,2,19404,-3375,1,True
800,8*theta_K^3 - 25*theta_K^2 + 38*theta_K - 46,122/5*theta_K^3 + 144*theta_K^2 - 468/5*theta_K + 2216/5,x^4 - x^3 + 11*x^2 - 8*x + 22,4,0,2,19404,-3375,1,False
801,-340*theta_K^3 - 1360*theta_K^2 + 680*theta_K - 4420,-78432/5*theta_K^3 + 84816*theta_K^2 - 538992/5*theta_K + 927504/5,x^4 - x^3 + 11*x^2 - 8*x + 22,4,0,2,19404,16581375,1,False
802,-51*theta_K^3 - 306*theta_K + 17,1026/5*theta_K^3 + 6156/5*theta_K - 9462/5,x^4 - x^3 + 11*x^2 - 8*x + 22,4,0,2,19404,16581375,1,True
803,-80/3*theta_K^3 - 800/9*theta_K^2 + 880/3*theta_K - 6200/9,-4928/81*theta_K^3 - 129472/81*theta_K^2 + 347200/81*theta_K - 620032/81,x^4 + 2*x^2 + 19,4,0,2,19456,8000,1,True
804,1892560*theta_K^3 + 2890080*theta_K^2 - 2573040*theta_K - 43228840/3,-32037780544/9*theta_K^3 - 597371672128/81*theta_K^2 - 13572574400/9*theta_K + 1510782544768/81,x^4 - 2*x^2 + 19,4,0,2,19456,8000,1,True
805,1280*theta_K^3 - 5120*theta_K - 10160,-259072/3*theta_K^3 + 1036288/3*theta_K + 685440,x^4 - x^2 + 9,4,0,2,19600,-3375,1,True
806,1280*theta_K^3 - 5120*theta_K - 10160,259072/3*theta_K^3 - 1036288/3*theta_K - 685440,x^4 - x^2 + 9,4,0,2,19600,-3375,1,True
807,21760*theta_K^3 - 87040*theta_K - 172720,-4922368*theta_K^3 + 19689472*theta_K + 39070080,x^4 - x^2 + 9,4,0,2,19600,16581375,1,True
808,21760*theta_K^3 - 87040*theta_K - 172720,4922368*theta_K^3 - 19689472*theta_K - 39070080,x^4 - x^2 + 9,4,0,2,19600,16581375,1,True
809,1440*theta_K^3 - 5760*theta_K - 11435,201952/3*theta_K^3 - 807808/3*theta_K - 534310,x^4 - x^2 + 9,4,0,2,19600,x^2 - 274917323970000*x + 1337635747140890625,2,True
810,-1440*theta_K^3 + 5760*theta_K - 11435,-201952/3*theta_K^3 + 807808/3*theta_K - 534310,x^4 - x^2 + 9,4,0,2,19600,x^2 - 274917323970000*x + 1337635747140890625,2,True
811,1440*theta_K^3 - 5760*theta_K - 11435,-201952/3*theta_K^3 + 807808/3*theta_K + 534310,x^4 - x^2 + 9,4,0,2,19600,x^2 - 274917323970000*x + 1337635747140890625,2,True
812,-1440*theta_K^3 + 5760*theta_K - 11435,201952/3*theta_K^3 - 807808/3*theta_K + 534310,x^4 - x^2 + 9,4,0,2,19600,x^2 - 274917323970000*x + 1337635747140890625,2,True
813,7680/23*theta_K^3 - 11520/23*theta_K^2 - 165120/23*theta_K - 149200/23,22528*theta_K^3 - 33792*theta_K^2 - 484352*theta_K - 437632,x^4 - 2*x^3 - 15*x^2 + 16*x + 29,4,4,0,19600,-3375,1,True
814,7680/23*theta_K^3 - 11520/23*theta_K^2 - 165120/23*theta_K - 149200/23,-22528*theta_K^3 + 33792*theta_K^2 + 484352*theta_K + 437632,x^4 - 2*x^3 - 15*x^2 + 16*x + 29,4,4,0,19600,-3375,1,True
815,-256*theta_K^3 - 1744/3*theta_K^2 + 4096/3*theta_K + 5216/3,19014400/621*theta_K^3 + 14348032/207*theta_K^2 - 33896192/207*theta_K - 129330944/621,x^4 - 2*x^3 - 15*x^2 + 16*x + 29,4,4,0,19600,x^2 - 1264000*x - 681472000,2,True
816,-620032/23*theta_K^3 - 4221728/69*theta_K^2 + 9958112/69*theta_K + 12674032/69,-1109878528/69*theta_K^3 - 22616074240/621*theta_K^2 + 53421065728/621*theta_K + 67946179072/621,x^4 - 2*x^3 - 15*x^2 + 16*x + 29,4,4,0,19600,x^2 - 1264000*x - 681472000,2,True
817,-256*theta_K^3 - 1744/3*theta_K^2 + 4096/3*theta_K + 5216/3,-19014400/621*theta_K^3 - 14348032/207*theta_K^2 + 33896192/207*theta_K + 129330944/621,x^4 - 2*x^3 - 15*x^2 + 16*x + 29,4,4,0,19600,x^2 - 1264000*x - 681472000,2,True
818,-620032/23*theta_K^3 - 4221728/69*theta_K^2 + 9958112/69*theta_K + 12674032/69,1109878528/69*theta_K^3 + 22616074240/621*theta_K^2 - 53421065728/621*theta_K - 67946179072/621,x^4 - 2*x^3 - 15*x^2 + 16*x + 29,4,4,0,19600,x^2 - 1264000*x - 681472000,2,True
819,836352/23*theta_K^3 + 23168/23*theta_K^2 - 12496896/23*theta_K - 35870080/69,-9961936384/621*theta_K^3 - 92017792/207*theta_K^2 + 148869307264/621*theta_K + 47491129088/207,x^4 - 2*x^3 - 15*x^2 + 16*x + 29,4,4,0,19600,x^2 + 117964800*x - 134217728000,2,True
820,836352/23*theta_K^3 + 23168/23*theta_K^2 - 12496896/23*theta_K - 35870080/69,9961936384/621*theta_K^3 + 92017792/207*theta_K^2 - 148869307264/621*theta_K - 47491129088/207,x^4 - 2*x^3 - 15*x^2 + 16*x + 29,4,4,0,19600,x^2 + 117964800*x - 134217728000,2,True
821,-339712/23*theta_K^3 - 768128/23*theta_K^2 + 1819136/23*theta_K + 6936320/69,-4043504128/621*theta_K^3 - 3051233920/207*theta_K^2 + 21623013760/621*theta_K + 9167125760/207,x^4 - 2*x^3 - 15*x^2 + 16*x + 29,4,4,0,19600,x^2 + 117964800*x - 134217728000,2,True
822,-339712/23*theta_K^3 - 768128/23*theta_K^2 + 1819136/23*theta_K + 6936320/69,4043504128/621*theta_K^3 + 3051233920/207*theta_K^2 - 21623013760/621*theta_K - 9167125760/207,x^4 - 2*x^3 - 15*x^2 + 16*x + 29,4,4,0,19600,x^2 + 117964800*x - 134217728000,2,True
823,130560/23*theta_K^3 - 195840/23*theta_K^2 - 2807040/23*theta_K - 2536400/23,1284096*theta_K^3 - 1926144*theta_K^2 - 27608064*theta_K - 24945024,x^4 - 2*x^3 - 15*x^2 + 16*x + 29,4,4,0,19600,16581375,1,True
824,130560/23*theta_K^3 - 195840/23*theta_K^2 - 2807040/23*theta_K - 2536400/23,-1284096*theta_K^3 + 1926144*theta_K^2 + 27608064*theta_K + 24945024,x^4 - 2*x^3 - 15*x^2 + 16*x + 29,4,4,0,19600,16581375,1,True
825,8640/23*theta_K^3 - 12960/23*theta_K^2 - 185760/23*theta_K - 167965/23,-403904/23*theta_K^3 + 605856/23*theta_K^2 + 8683936/23*theta_K + 7846186/23,x^4 - 2*x^3 - 15*x^2 + 16*x + 29,4,4,0,19600,x^2 - 274917323970000*x + 1337635747140890625,2,True
826,-8640/23*theta_K^3 + 12960/23*theta_K^2 + 185760/23*theta_K - 358045/23,-403904/23*theta_K^3 + 605856/23*theta_K^2 + 8683936/23*theta_K - 16732074/23,x^4 - 2*x^3 - 15*x^2 + 16*x + 29,4,4,0,19600,x^2 - 274917323970000*x + 1337635747140890625,2,True
827,-8640/23*theta_K^3 + 12960/23*theta_K^2 + 185760/23*theta_K - 358045/23,403904/23*theta_K^3 - 605856/23*theta_K^2 - 8683936/23*theta_K + 16732074/23,x^4 - 2*x^3 - 15*x^2 + 16*x + 29,4,4,0,19600,x^2 - 274917323970000*x + 1337635747140890625,2,True
828,8640/23*theta_K^3 - 12960/23*theta_K^2 - 185760/23*theta_K - 167965/23,403904/23*theta_K^3 - 605856/23*theta_K^2 - 8683936/23*theta_K - 7846186/23,x^4 - 2*x^3 - 15*x^2 + 16*x + 29,4,4,0,19600,x^2 - 274917323970000*x + 1337635747140890625,2,True
829,5,8/13*theta_K^3 - 12/13*theta_K^2 + 88/13*theta_K - 42/13,x^4 - 2*x^3 + 15*x^2 - 14*x + 14,4,0,2,19600,-3375,1,True
830,5,-8/13*theta_K^3 + 12/13*theta_K^2 - 88/13*theta_K + 42/13,x^4 - 2*x^3 + 15*x^2 - 14*x + 14,4,0,2,19600,-3375,1,True
831,85,456/13*theta_K^3 - 684/13*theta_K^2 + 5016/13*theta_K - 2394/13,x^4 - 2*x^3 + 15*x^2 - 14*x + 14,4,0,2,19600,16581375,1,True
832,85,-456/13*theta_K^3 + 684/13*theta_K^2 - 5016/13*theta_K + 2394/13,x^4 - 2*x^3 + 15*x^2 - 14*x + 14,4,0,2,19600,16581375,1,True
833,152*theta_K^3 - 186*theta_K^2 - 906*theta_K - 395,0,x^4 - 2*x^3 - 5*x^2 + 2*x + 2,4,4,0,19664,1728,1,True
834,20*theta_K^3 - 58*theta_K^2 + 6*theta_K + 21,0,x^4 - 2*x^3 - 5*x^2 + 2*x + 2,4,4,0,19664,1728,1,True
835,129513*theta_K^3 - 194775*theta_K^2 - 125427*theta_K + 380669,26222282*theta_K^3 - 162637490*theta_K^2 + 311330026*theta_K - 217519674,x^4 - x^3 + x^2 - 5*x + 8,4,0,2,19736,x^4 - 768717*x^3 + 170293797117*x^2 + 325490312422395*x + 1529397188594601984,4,True
836,512/3*theta_K^3 - 2560/3*theta_K^2 + 1536*theta_K - 1024,93184/9*theta_K^3 - 759808/27*theta_K^2 + 28672/9*theta_K + 229376/9,x^4 - x^3 - x^2 - 9*x + 15,4,0,2,19965,-32768,1,False
837,-512/3*theta_K^3 - 512/3*theta_K^2 + 1024,-57344/27*theta_K^3 - 57344/27*theta_K^2 + 136192/9,x^4 - x^3 - x^2 - 9*x + 15,4,0,2,19965,-32768,1,False
